# Data Source	World Development Indicators
# Last Updated Date	30.01.2019
# 
Name	Code	PrevalenceDiabetes_2017
Aruba	ABW	11.62
Afghanistan	AFG	9.59
Angola	AGO	3.94
Albania	ALB	10.08
Andorra	AND	7.97
Arab World	ARB	12.07702042
United Arab Emirates	ARE	17.26
Argentina	ARG	5.5
Armenia	ARM	7.11
American Samoa	ASM	
Antigua and Barbuda	ATG	13.17
Australia	AUS	5.07
Austria	AUT	6.35
Azerbaijan	AZE	7.11
Burundi	BDI	6.05
Belgium	BEL	4.29
Benin	BEN	0.99
Burkina Faso	BFA	2.42
Bangladesh	BGD	8.38
Bulgaria	BGR	5.81
Bahrain	BHR	16.52
Bahamas, The	BHS	13.17
Bosnia and Herzegovina	BIH	10.08
Belarus	BLR	5.18
Belize	BLZ	17.11
Bermuda	BMU	13
Bolivia	BOL	6.89
Brazil	BRA	8.11
Barbados	BRB	13.57
Brunei Darussalam	BRN	12.79
Bhutan	BTN	9.75
Botswana	BWA	4.81
Central African Republic	CAF	6.1
Canada	CAN	7.37
Central Europe and the Baltics	CEB	6.863498635
Switzerland	CHE	5.59
Channel Islands	CHI	4.28
Chile	CHL	8.46
China	CHN	9.74
Cote d'Ivoire	CIV	2.42
Cameroon	CMR	7.2
Congo, Dem. Rep.	COD	6.1
Congo, Rep.	COG	7.2
Colombia	COL	7.44
Comoros	COM	11.88
Cabo Verde	CPV	2.42
Costa Rica	CRI	8.78
Caribbean small states	CSS	11.85982335
Cuba	CUB	8.27
Curacao	CUW	11.62
Cayman Islands	CYM	13.22
Cyprus	CYP	9.24
Czech Republic	CZE	6.82
Germany	DEU	8.31
Djibouti	DJI	6.05
Dominica	DMA	11.62
Denmark	DNK	6.41
Dominican Republic	DOM	8.2
Algeria	DZA	6.73
East Asia & Pacific (excluding high income)	EAP	8.841313415
Early-demographic dividend	EAR	9.326120712
East Asia & Pacific	EAS	8.572328097
Europe & Central Asia (excluding high income)	ECA	7.904926122
Europe & Central Asia	ECS	6.800253144
Ecuador	ECU	5.55
Egypt, Arab Rep.	EGY	17.31
Euro area	EMU	6.237540214
Eritrea	ERI	6.05
Spain	ESP	7.17
Estonia	EST	4.02
Ethiopia	ETH	7.47
European Union	EUU	6.102228485
Fragile and conflict affected situations	FCS	7.075992896
Finland	FIN	5.76
Fiji	FJI	14.49
France	FRA	4.77
Faroe Islands	FRO	
Micronesia, Fed. Sts.	FSM	12.02
Gabon	GAB	7.2
United Kingdom	GBR	4.28
Georgia	GEO	7.11
Ghana	GHA	4.97
Gibraltar	GIB	
Guinea	GIN	2.42
Gambia, The	GMB	1.91
Guinea-Bissau	GNB	2.42
Equatorial Guinea	GNQ	7.78
Greece	GRC	4.55
Grenada	GRD	10.71
Greenland	GRL	2.16
Guatemala	GTM	10.18
Guam	GUM	21.52
Guyana	GUY	11.62
High income	HIC	7.854356362
Hong Kong SAR, China	HKG	8.33
Honduras	HND	7.21
Heavily indebted poor countries (HIPC)	HPC	5.870315343
Croatia	HRV	5.59
Haiti	HTI	6.65
Hungary	HUN	7.55
IBRD only	IBD	9.318548014
IDA & IBRD total	IBT	8.633699588
IDA total	IDA	6.110119048
IDA blend	IDB	5.704259902
Indonesia	IDN	6.32
IDA only	IDX	6.312817889
Isle of Man	IMN	
India	IND	10.39
Not classified	INX	
Ireland	IRL	3.28
Iran, Islamic Rep.	IRN	9.59
Iraq	IRQ	8.83
Iceland	ISL	5.31
Israel	ISR	6.74
Italy	ITA	4.78
Jamaica	JAM	11.28
Jordan	JOR	11.75
Japan	JPN	5.72
